so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
mu,,aria,nine,,aria,,"pinnow1959versuch[p. 76, item 1216, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c4.p76.i1216.sV054:v2,pinnow1959versuch:C:c4.p76.i1216.sV054,,,
ko,,areiku,nine,,areiku,,"pinnow1959versuch[p. 76, item 1216-2, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c5.p76.i1216-2.sV054,,,,
ko,,areja (aːreːja),nine (subst.),,areja (aːreːja),,"pinnow1959versuch[p. 76, item 1216-1, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c5.p76.i1216-1.sV054,,,,
sa,m32,arel,"hail, to hail",,arel,,"pinnow1959versuch[p. 119, item 1410, set V225]",,Pinnow comparative set V225. Linked to Rau m32 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p119.i1410.sV225,,,,
Birhor,m32,aril,hail,,aril,,"pinnow1959versuch[p. 119, item 1410, set V225]",,Pinnow comparative set V225. Linked to Rau m32 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p119.i1410.sV225,,,,
mu,m32,aril,hail,,aril,,"pinnow1959versuch[p. 119, item 1410, set V225]",,Pinnow comparative set V225. Linked to Rau m32 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p119.i1410.sV225,,,,
Birhor,,arɛ,nine,,arɛ,,"pinnow1959versuch[p. 76, item 1216, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c7.p76.i1216.sV054,,,,
Mahali,,arɛ,nine,,arɛ,,"pinnow1959versuch[p. 76, item 1216, set V54]",,Pinnow comparative set V54.,pinnow1959versuch:C:c16.p76.i1216.sV054,,,,
mu,,arɛˀɟ,to bail out water,,arɛˀɟ,,"pinnow1959versuch[p. 248, item 369, set K283]",,Pinnow comparative set K283.,pinnow1959versuch:C:c4.p248.i369.sK283,,,,
sa,,arɛˀɟ,to bail out water,,arɛˀɟ,,"pinnow1959versuch[p. 248, item 369, set K283]",,Pinnow comparative set K283.,pinnow1959versuch:C:c2.p248.i369.sK283,,,,
mu,,asai,eggs of flies,,asai,,"pinnow1959versuch[p. 149, item 1499, set V289]",,Pinnow comparative set V289.,pinnow1959versuch:C:c4.p149.i1499.sV289,,,,
ho,m65,asel,fairness of skin in Indians,,asel,,"pinnow1959versuch[p. 127, item 1442, set V255]",,Pinnow comparative set V255. Linked to Rau m65 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p127.i1442.sV255,,,,
ho,m65,esel,fairness of skin in Indians,,esel,,"pinnow1959versuch[p. 127, item 1442, set V255]",,Pinnow comparative set V255. Linked to Rau m65 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p127.i1442.sV255:v2,pinnow1959versuch:C:c6.p127.i1442.sV255,,,
ju,,asu,to put on (clothes),,asu,,"pinnow1959versuch[p. 90, item 1270, set V104]",,Pinnow comparative set V104.,pinnow1959versuch:C:c11.p90.i1270.sV104,,,,
sa,,asãe (asaj̃),the ova of the green fly,,asãe (asaj̃),,"pinnow1959versuch[p. 149, item 1499, set V289]",,Pinnow comparative set V289.,pinnow1959versuch:C:c2.p149.i1499.sV289,,,,
Birhor,,atiŋ,to graze,,atiŋ,,"pinnow1959versuch[p. 150, item 1506, set V295]",,Pinnow comparative set V295.,pinnow1959versuch:C:c7.p150.i1506.sV295,,,,
mu,,atiŋ,to graze,,atiŋ,,"pinnow1959versuch[p. 150, item 1506, set V295]",,Pinnow comparative set V295.,pinnow1959versuch:C:c4.p150.i1506.sV295,,,,
ho,,atiɲ,to graze,,atiɲ,,"pinnow1959versuch[p. 150, item 1506, set V295]",,Pinnow comparative set V295.,pinnow1959versuch:C:c6.p150.i1506.sV295,,,,
sa,,ato,"village, hamlet",,ato,,"pinnow1959versuch[p. 78, item 1231, set V69]",,Pinnow comparative set V69.,pinnow1959versuch:C:c2.p78.i1231.sV069,,,,
Birhor,,atu,to be carried away (as by waves),,atu,,"pinnow1959versuch[p. 94, item 1293, set V127]",,Pinnow comparative set V127.,pinnow1959versuch:C:c7.p94.i1293.sV127,,,,
ho,,atu,"to flow, float",,atu,,"pinnow1959versuch[p. 94, item 1293, set V127]",,Pinnow comparative set V127.,pinnow1959versuch:C:c6.p94.i1293.sV127,,,,
mu,,atu,"to flow, float",,atu,,"pinnow1959versuch[p. 94, item 1293, set V127]",,Pinnow comparative set V127.,pinnow1959versuch:C:c4.p94.i1293.sV127,,,,
sa,,aŋ,"dawn of time, beginning",,aŋ,,"pinnow1959versuch[p. 223, item 242-1, set K204b]",,Pinnow comparative set K204b.,pinnow1959versuch:C:c2.p223.i242-1.sK204b,,,,
ho,,aŋ,"dawn, daybreak, to dawn",,aŋ,,"pinnow1959versuch[p. 223, item 242, set K204b]",,Pinnow comparative set K204b.,pinnow1959versuch:C:c6.p223.i242.sK204b,,,,
mu,,aŋ,"dawn, daybreak, to dawn",,aŋ,,"pinnow1959versuch[p. 223, item 242, set K204b]",,Pinnow comparative set K204b.,pinnow1959versuch:C:c4.p223.i242.sK204b,,,,
ko,,aŋ-u,to dawn,,aŋ-u,,"pinnow1959versuch[p. 223, item 242, set K204b]",,Pinnow comparative set K204b.,pinnow1959versuch:C:c5.p223.i242.sK204b,,,,
kw,,aŋoˀɟ-ta,"morning, it is morning",,aŋoˀɟ-ta,,"pinnow1959versuch[p. 223, item 242, set K204b]",,Pinnow comparative set K204b.,pinnow1959versuch:C:c12.p223.i242.sK204b,,,,
mu,,aŋɔʔ,to dawn,,aŋɔʔ,,"pinnow1959versuch[p. 223, item 242-1, set K204b]",,Pinnow comparative set K204b.,pinnow1959versuch:C:c4.p223.i242-1.sK204b,,,,
sa,,aŋɡa,"dawn, break of day",,aŋɡa,,"pinnow1959versuch[p. 223, item 242, set K204b]",,Pinnow comparative set K204b.,pinnow1959versuch:C:c2.p223.i242.sK204b,,,,
Birhor,,aŋɡa,morning,,aŋɡa,,"pinnow1959versuch[p. 223, item 242, set K204b]",,Pinnow comparative set K204b.,pinnow1959versuch:C:c7.p223.i242.sK204b,,,,
Birhor,,aŋɡob,mouth-hole,,aŋɡob,,"pinnow1959versuch[p. 78, item 1230, set V68]",,Pinnow comparative set V68.,pinnow1959versuch:C:c7.p78.i1230.sV068,,,,
ko,,aŋɡub,"to yawn, gape",,aŋɡub,,"pinnow1959versuch[p. 78, item 1230, set V68]",,Pinnow comparative set V68.,pinnow1959versuch:C:c5.p78.i1230.sV068,,,,
mu,,aŋɡɔˀb,"to yawn, gape",,aŋɡɔˀb,,"pinnow1959versuch[p. 78, item 1230, set V68]",,Pinnow comparative set V68.,pinnow1959versuch:C:c4.p78.i1230.sV068,,,,
sa,,aŋɡɔˀb,"to yawn, gape",,aŋɡɔˀb,,"pinnow1959versuch[p. 78, item 1230, set V68]",,Pinnow comparative set V68.,pinnow1959versuch:C:c2.p78.i1230.sV068,,,,
sa,,aɖo,"urine, to urinate",,aɖo,,"pinnow1959versuch[p. 153, item 1523, set V308]",,Pinnow comparative set V308.,pinnow1959versuch:C:c2.p153.i1523.sV308,,,,
Birhor,,aɖu,"urine, to urinate",,aɖu,,"pinnow1959versuch[p. 153, item 1523, set V308]",,Pinnow comparative set V308.,pinnow1959versuch:C:c7.p153.i1523.sV308,,,,
Birhor,,aɽu,"urine, to urinate",,aɽu,,"pinnow1959versuch[p. 153, item 1523, set V308]",,Pinnow comparative set V308.,pinnow1959versuch:C:c7.p153.i1523.sV308:v2,pinnow1959versuch:C:c7.p153.i1523.sV308,,,
mu,,aɟar,to instil drop by drop,,aɟar,,"pinnow1959versuch[p. 247, item 367, set K281]",,Pinnow comparative set K281.,pinnow1959versuch:C:c4.p247.i367.sK281,,,,
mu,,aɟɔr,to instil drop by drop,,aɟɔr,,"pinnow1959versuch[p. 247, item 367, set K281]",,Pinnow comparative set K281.,pinnow1959versuch:C:c4.p247.i367.sK281:v2,pinnow1959versuch:C:c4.p247.i367.sK281,,,
mu,,aɟɔrɔ,to instil drop by drop,,aɟɔrɔ,,"pinnow1959versuch[p. 247, item 367, set K281]",,Pinnow comparative set K281.,pinnow1959versuch:C:c4.p247.i367.sK281:v3,pinnow1959versuch:C:c4.p247.i367.sK281,,,
mu,,aɟaŭɽi,"free time, leisure, to empty out (of vessels, baskets and the like)",,aɟaŭɽi,,"pinnow1959versuch[p. 247, item 367-1, set K281]",,Pinnow comparative set K281.,pinnow1959versuch:C:c4.p247.i367-1.sK281,,,,
mu,,aɟi,"elder sister, grandmother",,aɟi,,"pinnow1959versuch[p. 73, item 1200, set V38]",,Pinnow comparative set V38.,pinnow1959versuch:C:c4.p73.i1200.sV038,,,,
Birhor,,aɟi,elder sister,,aɟi,,"pinnow1959versuch[p. 73, item 1200, set V38]",,Pinnow comparative set V38.,pinnow1959versuch:C:c7.p73.i1200.sV038,,,,
ho,,aɟi,elder sister,,aɟi,,"pinnow1959versuch[p. 73, item 1200, set V38]",,Pinnow comparative set V38.,pinnow1959versuch:C:c6.p73.i1200.sV038,,,,
ko,,aɟi,sister-in-law,,aɟi,,"pinnow1959versuch[p. 73, item 1200, set V38]",,Pinnow comparative set V38.,pinnow1959versuch:C:c5.p73.i1200.sV038,,,,
ju,,aɟiŋ,elder sister,,aɟiŋ,,"pinnow1959versuch[p. 73, item 1200, set V38]",,Pinnow comparative set V38.,pinnow1959versuch:C:c11.p73.i1200.sV038,,,,
kw,,aɟom,"to hear, to listen",,aɟom,,"pinnow1959versuch[p. 78, item 1233, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c12.p78.i1233.sV071,,,,
kw,,ajum,"to hear, to listen",,ajum,,"pinnow1959versuch[p. 78, item 1233, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c12.p78.i1233.sV071:v2,pinnow1959versuch:C:c12.p78.i1233.sV071,,,
ho,,aɡu,to bring,,aɡu,,"pinnow1959versuch[p. 394, item 1126, set K533]",,Pinnow comparative set K533.,pinnow1959versuch:C:c6.p394.i1126.sK533,,,,
Birhor,,aɡu,to take away,,aɡu,,"pinnow1959versuch[p. 394, item 1126, set K533]",,Pinnow comparative set K533.,pinnow1959versuch:C:c7.p394.i1126.sK533,,,,
ko,,aɲɟoen,heard,,aɲɟoen,,"pinnow1959versuch[p. 78, item 1233-1, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c5.p78.i1233-1.sV071,,,,
ko,,aɲɟom,"to hear, to listen",,aɲɟom,,"pinnow1959versuch[p. 78, item 1233, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c5.p78.i1233.sV071,,,,
ko,,aɲɟum,"to hear, to listen",,aɲɟum,,"pinnow1959versuch[p. 78, item 1233, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c5.p78.i1233.sV071:v2,pinnow1959versuch:C:c5.p78.i1233.sV071,,,
sa,,aɲɟɔm,"to hear, to listen",,aɲɟɔm,,"pinnow1959versuch[p. 78, item 1233, set V71]",,Pinnow comparative set V71.,pinnow1959versuch:C:c2.p78.i1233.sV071,,,,
sa,,aɳɖar oɳɖor,"staring vacantly, with wide open eyes, look about, stare with wide open eyes, gape about",,aɳɖar oɳɖor,,"pinnow1959versuch[p. 113, item 1388-1, set V212]",,Pinnow comparative set V212.,pinnow1959versuch:C:c2.p113.i1388-1.sV212,,,,
Birhor,,aɽaʔ,"vegetables, potherbs",,aɽaʔ,,pinnow1959versuch,,,pinnow1959versuch:C:c7.p.i.sEMPTY,,,,
Birhor,,aʔ,bow,,aʔ,,"pinnow1959versuch[p. 70, item 1168, set V6]",,Pinnow comparative set V6.,pinnow1959versuch:C:c7.p70.i1168.sV006,,,,
mu,,aʔ,bow,,aʔ,,"pinnow1959versuch[p. 70, item 1168, set V6]",,Pinnow comparative set V6.,pinnow1959versuch:C:c4.p70.i1168.sV006,,,,
sa,,aʔ,bow,,aʔ,,"pinnow1959versuch[p. 70, item 1168, set V6]",,Pinnow comparative set V6.,pinnow1959versuch:C:c2.p70.i1168.sV006,,,,
ho,,aʔsar,bow and arrow,,aʔsar,,"pinnow1959versuch[p. 70, item 1168, set V6]",,Pinnow comparative set V6.,pinnow1959versuch:C:c6.p70.i1168.sV006,,,,
mu,,aˀb,to wash face,,aˀb,,"pinnow1959versuch[p. 75, item 1208-1, set V46]",,Pinnow comparative set V46.,pinnow1959versuch:C:c4.p75.i1208-1.sV046,,,,
sa,,aˀb,to wash face,,aˀb,,"pinnow1959versuch[p. 75, item 1208-1, set V46]",,Pinnow comparative set V46.,pinnow1959versuch:C:c2.p75.i1208-1.sV046,,,,
kh,,aˀɟ,to sprinkle,,aˀɟ,,"pinnow1959versuch[p. 248, item 369, set K283]",,Pinnow comparative set K283.,pinnow1959versuch:C:c1.p248.i369.sK283,,,,
kh,,aˈniŋ,we (inclusive),,aˈniŋ,,"pinnow1959versuch[p. 74, item 1201, set V39]",,Pinnow comparative set V39.,pinnow1959versuch:C:c1.p74.i1201.sV039,,,,pron 1pl inclusive
re,,ba,father,,ba,,"pinnow1959versuch[p. 72, item 1188, set V26]",,Pinnow comparative set V26.,pinnow1959versuch:C:c10.p72.i1188.sV026,,,,
sa,,ba,father,,ba,,"pinnow1959versuch[p. 72, item 1188, set V26]",,Pinnow comparative set V26.,pinnow1959versuch:C:c2.p72.i1188.sV026,,,,
ho,,ba,"flower, blossom, to flower",,ba,,"pinnow1959versuch[p. 72, item 1183, set V21]",,Pinnow comparative set V21.,pinnow1959versuch:C:c6.p72.i1183.sV021,,,,
Mahali,,ba,not,,ba,,"pinnow1959versuch[p. 376, item 1042, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c16.p376.i1042.sK514,,,,
sa,,ba,not,,ba,,"pinnow1959versuch[p. 376, item 1042, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c2.p376.i1042.sK514,,,,
ko,m123,baba,cauli rice,,baba,,"pinnow1959versuch[p. 70, item 1166, set V4]",,Pinnow comparative set V4. Linked to Rau m123 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p70.i1166.sV004,,,,
ho,m123,baba,"the rice-plant, paddy ({Sci.name} Oryza sativa, Linn.), or rice in the husk",,baba,,"pinnow1959versuch[p. 70, item 1166, set V4]",,Pinnow comparative set V4. Linked to Rau m123 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p70.i1166.sV004,,,,
mu,m123,baba,"the rice-plant, paddy ({Sci.name} Oryza sativa, Linn.), or rice in the husk",,baba,,"pinnow1959versuch[p. 70, item 1166, set V4]",,Pinnow comparative set V4. Linked to Rau m123 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p70.i1166.sV004,,,,
sa,m84,badaɽ seleˀb,the buck of the Ravine Deer ({Sci.name} Gazella Bennettii),,badaɽ seleˀb,,"pinnow1959versuch[p. 120, item 1418, set V233]",,Pinnow comparative set V233. Linked to Rau m84 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p120.i1418.sV233,,,,
mu,,badu,"Sasin or Indian Antelope, antelope cervicapra",,badu,,"pinnow1959versuch[p. 168, item 1597, set V362]",,Pinnow comparative set V362.,pinnow1959versuch:C:c4.p168.i1597.sV362,,,,
ko,,badu,hog,,badu,,"pinnow1959versuch[p. 168, item 1597, set V362]",,Pinnow comparative set V362.,pinnow1959versuch:C:c5.p168.i1597.sV362,,,,
Birhor,,baha,"flower, blossom, to flower",,baha,,"pinnow1959versuch[p. 72, item 1183, set V21]",,Pinnow comparative set V21.,pinnow1959versuch:C:c7.p72.i1183.sV021,,,,
mu,,baha,"flower, blossom, to flower",,baha,,"pinnow1959versuch[p. 72, item 1183-2, set V21]",,Pinnow comparative set V21.,pinnow1959versuch:C:c4.p72.i1183-2.sV021,,,,
sa,,baha,"flower, blossom, to flower",,baha,,"pinnow1959versuch[p. 72, item 1183, set V21]",,Pinnow comparative set V21.,pinnow1959versuch:C:c2.p72.i1183.sV021,,,,
mu,,bahɛr,rope,,bahɛr,,"pinnow1959versuch[p. 392, item 1117, set K530]",,Pinnow comparative set K530.,pinnow1959versuch:C:c4.p392.i1117.sK530,,,,
kw,,bai,no,,bai,,"pinnow1959versuch[p. 376, item 1042, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c12.p376.i1042.sK514,,,,
ju,m78,ban,two,,ban,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c11.p75.i1211.sV049,,,,
ju,m78,ambar,two,,ambar,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c11.p75.i1211.sV049:v2,pinnow1959versuch:C:c11.p75.i1211.sV049,,,
Birhor,,bana,bear,,bana,,"pinnow1959versuch[p. 130, item 1466-2, set V267]",,Pinnow comparative set V267.,pinnow1959versuch:C:c7.p130.i1466-2.sV267,,,,
ho,,bana,bear,,bana,,"pinnow1959versuch[p. 130, item 1466, set V267]",,Pinnow comparative set V267.,pinnow1959versuch:C:c6.p130.i1466.sV267,,,,
ko,,bana,bear,,bana,,"pinnow1959versuch[p. 130, item 1466, set V267]",,Pinnow comparative set V267.,pinnow1959versuch:C:c5.p130.i1466.sV267,,,,
sa,,bana,the Indian black bear ({Sci.name} Ursus labiatus),,bana,,"pinnow1959versuch[p. 130, item 1466, set V267]",,Pinnow comparative set V267.,pinnow1959versuch:C:c2.p130.i1466.sV267,,,,
mu,,bana,"the Sloth-bear, the black bear ({Sci.name} Melursus ursinus)",,bana,,"pinnow1959versuch[p. 130, item 1466-2, set V267]",,Pinnow comparative set V267.,pinnow1959versuch:C:c4.p130.i1466-2.sV267,,,,
Birhor,m78,bar,two,,bar,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p75.i1211.sV049,,,,
Birhor,m78,bar-ea,two,,bar-ea,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p75.i1211.sV049:v2,pinnow1959versuch:C:c7.p75.i1211.sV049,,,
Mahali,m78,bar,two,,bar,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c16.p75.i1211.sV049,,,,
Mahali,m78,bar-ea,two,,bar-ea,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c16.p75.i1211.sV049:v2,pinnow1959versuch:C:c16.p75.i1211.sV049,,,
mu,m78,bar,two,,bar,,"pinnow1959versuch[p. 75, item 1211-3, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p75.i1211-3.sV049,,,,
mu,m78,bar-ea,two,,bar-ea,,"pinnow1959versuch[p. 75, item 1211-3, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p75.i1211-3.sV049:v2,pinnow1959versuch:C:c4.p75.i1211-3.sV049,,,
sa,m78,bar,two,,bar,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p75.i1211.sV049,,,,
sa,m78,bar-ea,two,,bar-ea,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p75.i1211.sV049:v2,pinnow1959versuch:C:c2.p75.i1211.sV049,,,
ho,m78,bar,two,,bar,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p75.i1211.sV049,,,,
ho,m78,bar-ia,two,,bar-ia,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p75.i1211.sV049:v2,pinnow1959versuch:C:c6.p75.i1211.sV049,,,
mu,m78,bar,two,,bar,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p75.i1211.sV049,,,,
mu,m78,bar-ia,two,,bar-ia,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p75.i1211.sV049:v2,pinnow1959versuch:C:c4.p75.i1211.sV049,,,
ju,,bara-na,lived,,bara-na,,"pinnow1959versuch[p. 127, item 1441, set V254]",,Pinnow comparative set V254.,pinnow1959versuch:C:c11.p127.i1441.sV254,,,,
kw,m78,bari,two,,bari,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c12.p75.i1211.sV049,,,,
kw,m78,bari-ʈaŋ,two,,bari-ʈaŋ,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c12.p75.i1211.sV049:v2,pinnow1959versuch:C:c12.p75.i1211.sV049,,,
ko,m78,bari,two,,bari,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p75.i1211.sV049,,,,
ko,m78,baria,two,,baria,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p75.i1211.sV049:v2,pinnow1959versuch:C:c5.p75.i1211.sV049,,,
ko,m78,barija,two,,barija,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p75.i1211.sV049:v3,pinnow1959versuch:C:c5.p75.i1211.sV049,,,
Asuri,m78,baria,two,,baria,,"pinnow1959versuch[p. 75, item 1211, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c14.p75.i1211.sV049,,,,
mu,m78,baria,two,,baria,,"pinnow1959versuch[p. 75, item 1211-2, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p75.i1211-2.sV049,,,,
mu,m21,basaŋ,to boil,,basaŋ,,"pinnow1959versuch[p. 126, item 1439-4, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p126.i1439-4.sV252,,,,
sa,m21,basaŋ,"warm, hot, to boil",,basaŋ,,"pinnow1959versuch[p. 126, item 1439-2, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p126.i1439-2.sV252,,,,
ho,m21,basaŋ,"warm, to boil",,basaŋ,,"pinnow1959versuch[p. 126, item 1439-2, set V252]",,Pinnow comparative set V252. Linked to Rau m21 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p126.i1439-2.sV252,,,,
ko,,baŋ,no,,baŋ,,"pinnow1959versuch[p. 376, item 1042, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c5.p376.i1042.sK514,,,,
Mahali,,baŋ,no,,baŋ,,"pinnow1959versuch[p. 376, item 1042-1, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c16.p376.i1042-1.sK514,,,,
sa,,baŋ,no,,baŋ,,"pinnow1959versuch[p. 376, item 1042-1, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c2.p376.i1042-1.sK514,,,,
mu,,baŋ,nothing,,baŋ,,"pinnow1959versuch[p. 376, item 1042, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c4.p376.i1042.sK514,,,,
mu,,baŋɡaia,does not exist,,baŋɡaia,,"pinnow1959versuch[p. 376, item 1042-1, set K514]",,Pinnow comparative set K514.,pinnow1959versuch:C:c4.p376.i1042-1.sK514,,,,
mu,,baː,"flower, blossom, to flower",,baː,,"pinnow1959versuch[p. 72, item 1183, set V21]",,Pinnow comparative set V21.,pinnow1959versuch:C:c4.p72.i1183.sV021,,,,
gu,m78,baːr-ɟuː,two,,baːr-ɟuː,,"pinnow1959versuch[p. 75, item 1211-2, set V49]",,Pinnow comparative set V49. Linked to Rau m78 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c8.p75.i1211-2.sV049,,,,
Asuri,,baːver,rope,,baːver,,"pinnow1959versuch[p. 392, item 1117, set K530]",,Pinnow comparative set K530.,pinnow1959versuch:C:c14.p392.i1117.sK530,,,,
ho,,be,to spit,,be,,"pinnow1959versuch[p. 158, item 1547, set V328]",,Pinnow comparative set V328.,pinnow1959versuch:C:c6.p158.i1547.sV328,,,,
Birhor,,bej,to spit,,bej,,"pinnow1959versuch[p. 158, item 1547, set V328]",,Pinnow comparative set V328.,pinnow1959versuch:C:c7.p158.i1547.sV328,,,,
